id,product_name,company,cancer_type,modality,claimed_fda_status,claimed_pathway,claimed_decision_date,company_url,fda_search_url,what_to_confirm,OK (tick),correction,notes
vesta-bcg,Vesta Bladder BCGPredict,Valar Labs,bladder,histopathology,Breakthrough Device Designation,breakthrough_device,2026-03,https://www.valarlabs.com/,(verify via company press release + FDA Breakthrough list),FDA # + decision date + current product name + intended use matches,x,,"Valar Labs currently markets Vesta Bladder BCGPredict/Risk Stratify; company page supports Breakthrough Device framing for BCGPredict but FDA public breakthrough list does not expose a simple product-level searchable designation record."
artera-prostate,ArteraAI Prostate Test,Artera,prostate,histopathology,LDT,ldt,null,https://artera.ai/,(LDT — verify via company IFU),FDA # + decision date + current product name + intended use matches,,"Change current status/pathway to De Novo authorized; De Novo number: DEN240068; decision date: 2025-07-31.","Artera page still distinguishes commercial ArteraAI Prostate Test LDT from ArteraAI Prostate medical device, but FDA record exists for ArteraAI Prostate."
foundationone-cdx,FoundationOne CDx,Foundation Medicine (Roche),"solid_tumor,pan_cancer",genomic_sequencing_with_ai,PMA approved,pma,2017-11,https://www.foundationmedicine.com/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm,FDA # + decision date + current product name + intended use matches,x,"PMA number: P170019; approval date: 2017-11-30.","FDA trade name FoundationOne CDx / F1CDx; multiple later indication and labeling supplements exist."
kheiron-mia,Mia,Kheiron Medical Technologies,breast,radiology_mammography,Research Use,,null,https://www.kheironmed.com/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm,FDA # + decision date + current product name + intended use matches,,"Set claimed_pathway=research_use for U.S.; no FDA clearance found for Mia.","Kheiron says Mia is CE marked in EU/UK with Australia TGA and New Zealand Medsafe clearance; FDA application was underway historically but no FDA record found."
guardant-reveal,Guardant Reveal,Guardant Health,"colorectal,breast,lung",liquid_biopsy,LDT,ldt,null,https://guardanthealth.com/,(LDT — verify via company IFU),FDA # + decision date + current product name + intended use matches,x,,"No FDA premarket record found for Guardant Reveal; Guardant markets Reveal as a clinical MRD/recurrence LDT distinct from FDA-approved Shield and Guardant360 CDx products."
paige-lymph-node,Paige Lymph Node Metastasis Detection,Paige.AI,breast,histopathology,510(k) cleared,510k,null,https://paige.ai/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn_browse.cfm?db=pmn&applicant=Paige.AI,FDA # + decision date + current product name + intended use matches,,"Change status/pathway to Breakthrough Device Designation; no 510(k) clearance found.","Paige announced FDA Breakthrough Device Designation for Paige Lymph Node in Oct 2025; FDA database search finds only Paige Prostate DEN200080."
lunit-scope-io,Lunit SCOPE IO,Lunit,pan_cancer,histopathology,Research Use,,null,https://www.lunit.io/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm,FDA # + decision date + current product name + intended use matches,x,"Set claimed_pathway=research_use.","Lunit product page explicitly says SCOPE IO is Research Use Only and not for diagnostic procedures; FDA records found for Lunit INSIGHT imaging products, not SCOPE IO."
whiterabbit-wrdensity,WRDensity,Whiterabbit.ai,breast,radiology_mammography,510(k) cleared,510k,null,https://www.whiterabbit.ai/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn_browse.cfm?db=pmn&applicant=Whiterabbit.ai,FDA # + decision date + current product name + intended use matches,x,"510(k) number: K202013; decision date: 2020-10-30.","FDA device name WRDensity by Whiterabbit.ai, product code QIH."
qlarity-quantx,QuantX,Qlarity Imaging,breast,radiology_mri,De Novo authorized,de_novo,2017-07,https://qlarityimaging.com/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm,FDA # + decision date + current product name + intended use matches,x,"De Novo number: DEN170022; decision date: 2017-07-19. Earlier 510(k) K170195 decision 2017-05-17 and later K191959 decision 2019-11-08 also exist.","FDA applicant was Quantitative Insights; Qlarity later commercialized QuantX."
tempus-xr,Tempus xR,Tempus AI,"solid_tumor,pan_cancer",genomic_sequencing_with_ai,LDT,ldt,null,https://www.tempus.com/,(LDT — verify via company IFU),FDA # + decision date + current product name + intended use matches,,"Change current status/pathway to 510(k) cleared for xR IVD; 510(k) number: K241868; decision date: 2025-09-19.","FDA device name xR IVD, product code PZM. If the registry means the legacy xR LDT rather than xR IVD, rename/scope the entry explicitly."
