id,product_name,company,cancer_type,modality,claimed_fda_status,claimed_pathway,claimed_decision_date,company_url,fda_search_url,what_to_confirm,OK (tick),correction,notes
siemens-ai-rad-chest-ct-oncology,AI-Rad Companion Chest CT (Oncology),Siemens Healthineers,lung,radiology_ct,510(k) cleared,510k,null,https://www.siemens-healthineers.com/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn_browse.cfm?db=pmn&applicant=Siemens,FDA # (K/DEN/P) / decision date / intended use matches current labeling,x,"Likely FDA mapping: AI-Rad Companion (Pulmonary) K183271 decision 2019-07-26; subsequent clearances K213713 2022-08-11 and K233753 2024-03-21.","Use Siemens AI-Rad Companion (Pulmonary) rather than generic Chest CT Oncology SKU; separate syngo.CT Lung CAD records also exist."
ge-lung-vcar,Lung VCAR,GE HealthCare,lung,radiology_ct,510(k) cleared,510k,null,https://www.gehealthcare.com/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn_browse.cfm?db=pmn&applicant=GE,FDA # (K/DEN/P) / decision date / intended use matches current labeling,,"No FDA record found for a device named Lung VCAR; closest GE records are Thoracic VCAR K103480 decision 2011-03-07 and Thoracic VCAR with GSI Pulmonary Perfusion K183210 decision 2019-03-29.","Verify whether Lung VCAR should be renamed to Thoracic VCAR or deleted; FDA product family is not obviously lung-nodule oncology AI."
aidoc-briefcase-lung-nodule,BriefCase — Incidental Lung Nodule,Aidoc,lung,radiology_ct,510(k) cleared,510k,null,https://www.aidoc.com/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn_browse.cfm?db=pmn&applicant=Aidoc,FDA # (K/DEN/P) / decision date / intended use matches current labeling,,"Change or delete: no Aidoc FDA 510(k) found for Incidental Lung Nodule.","FDA Aidoc BriefCase records cover PE/iPE, ICH, LVO, C-spine fracture, pneumothorax, rib fracture, quantification and multi-triage; one Aidoc brochure lists Lung Nodules as pending/roadmap, not cleared."
oxipit-chesteye,ChestEye,Oxipit,lung,radiology_cxr,Research Use,research_use,null,https://oxipit.ai/,(verify status from company site),decision date / intended use matches current labeling,x,,"Oxipit ChestEye is CE-marked; public partner materials say FDA 510(k) submission is in progress and no U.S. FDA clearance was found."
medtronic-gi-genius,GI Genius,Medtronic,colorectal,radiology_ct,De Novo authorized,de_novo,2021-04,https://www.medtronic.com/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm,FDA # (K/DEN/P) / intended use matches current labeling,x,"De Novo number: DEN200055; decision date: 2021-04-09. Later 510(k)s include K211951, K231143, K233964, and K241887.","FDA applicant is Cosmo Artificial Intelligence - AI, Ltd.; GI Genius is marketed by Medtronic."
iterative-skout,SKOUT,Iterative Health,colorectal,radiology_ct,510(k) cleared,510k,2022-07,https://www.iterative.health/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn_browse.cfm?db=pmn&applicant=Iterative,FDA # (K/DEN/P) / intended use matches current labeling,x,"510(k) number: K213686; decision date: 2022-08-12. Later SKOUT clearances include K230658, K240781, K241508, K251126, and K253664.","Claimed 2022-07 is close but FDA decision date is 2022-08-12."
magentiq-colo,Magentiq-Colo,Magentiq Eye,colorectal,radiology_ct,510(k) cleared,510k,null,https://magentiq.com/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn_browse.cfm?db=pmn&applicant=Magentiq,FDA # (K/DEN/P) / decision date / intended use matches current labeling,x,"510(k) number: K223473; decision date: 2023-07-25. Later clearances include K244023, K252178, and K260724.","FDA device names include ME-APDS / MAGENTIQ-COLO."
fujifilm-cad-eye,CAD EYE,Fujifilm Healthcare,colorectal,radiology_ct,510(k) cleared,510k,null,https://www.fujifilm.com/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn_browse.cfm?db=pmn&applicant=Fujifilm,FDA # (K/DEN/P) / decision date / intended use matches current labeling,x,"510(k) number: K230751; decision date: 2023-12-15.","FDA device name is EW10-EC02 Endoscopy Support Program; Fujifilm announced CAD EYE U.S. clearance on 2024-03-20."
densitas-intellimammo,intelliMammo,Densitas,breast,radiology_mammography,510(k) cleared,510k,null,https://densitas.health/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn_browse.cfm?db=pmn&applicant=Densitas,FDA # (K/DEN/P) / decision date / intended use matches current labeling,x,"510(k) numbers: K170540 decision 2018-02-23 for DM-Density; K192973 decision 2020-02-19 for densitas densityai.","Current Densitas materials list intelliMammo as a platform; FDA Class II clearance appears to apply to densityai/DM-Density, while some quality modules are Class I/not medical device."
deephealth-saige-dx,Saige-Dx,DeepHealth (RadNet),breast,radiology_mammography,510(k) cleared,510k,null,https://www.deephealth.com/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn_browse.cfm?db=pmn&applicant=DeepHealth,FDA # (K/DEN/P) / decision date / intended use matches current labeling,x,"510(k) number: K220105; decision date: 2022-05-12. Later Saige-Dx clearances include K241747 2024-11-18, K243688 2024-12-19, and K251873 2025-08-11.","FDA product code QDQ; company now DeepHealth/RadNet."
subtle-medical-subtlepet,SubtlePET,Subtle Medical,solid_tumor,radiology_mri,510(k) cleared,510k,2018-09,https://subtlemedical.com/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn_browse.cfm?db=pmn&applicant=Subtle,FDA # (K/DEN/P) / intended use matches current labeling,,"Correct decision date to 2018-11-30; 510(k) number: K182336. Later SubtlePET clearance: K211964 decision 2021-09-28.","Claimed 2018-09 date does not match FDA decision date."
myriad-mychoice-cdx,myChoice CDx,Myriad Genetics,"ovarian,breast,pan_cancer",genomic_sequencing_with_ai,PMA approved,pma,null,https://myriad.com/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm,FDA # (K/DEN/P) / decision date / intended use matches current labeling,x,"PMA number: P190014; original approval date: 2019-10-23.","Multiple supplements exist for myChoice CDx indications and labeling."
myriad-prolaris,Prolaris,Myriad Genetics,prostate,genomic_sequencing_with_ai,LDT,ldt,null,https://myriad.com/,(LDT — not in FDA device DB; verify via company IFU),decision date / intended use matches current labeling,x,,"Public technical/specimen materials describe Prolaris as a CLIA laboratory-developed test; no FDA premarket record found."
agendia-mammaprint,MammaPrint,Agendia,breast,genomic_sequencing_with_ai,510(k) cleared,510k,2007-02,https://agendia.com/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn_browse.cfm?db=pmn&applicant=Agendia,FDA # (K/DEN/P) / intended use matches current labeling,x,"De Novo number: DEN070009; decision date: 2007-02-06. Also 510(k) K070675 decision 2007-06-22 and later MammaPrint clearances exist.","Initial FDA authorization was De Novo, not a standard 510(k), though later 510(k)s exist."
exact-oncotype-dx-breast,Oncotype DX Breast Recurrence Score,Exact Sciences,breast,genomic_sequencing_with_ai,LDT,ldt,null,https://www.exactsciences.com/,(LDT — not in FDA device DB; verify via company IFU),decision date / intended use matches current labeling,x,,"Oncotype DX Breast Recurrence Score is marketed as a centralized laboratory-developed test; no FDA premarket approval/clearance found."
veracyte-prosigna,Prosigna (PAM50),Veracyte,breast,genomic_sequencing_with_ai,510(k) cleared,510k,null,https://www.veracyte.com/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn_browse.cfm?db=pmn&applicant=Veracyte,FDA # (K/DEN/P) / decision date / intended use matches current labeling,x,"510(k) number: K130010; decision date: 2013-09-06. Later clearance K141771 decision 2014-11-07.","FDA applicant was NanoString Technologies; Veracyte acquired the Prosigna business."
veracyte-envisia,Envisia Genomic Classifier,Veracyte,lung,genomic_sequencing_with_ai,LDT,ldt,null,https://www.veracyte.com/,(LDT — not in FDA device DB; verify via company IFU),decision date / intended use matches current labeling,x,,"Veracyte public filings describe Envisia as an LDT performed under FDA enforcement discretion; no FDA premarket record found."
tempus-xf,Tempus xF (liquid biopsy),Tempus AI,pan_cancer,liquid_biopsy,LDT,ldt,null,https://www.tempus.com/,(LDT — not in FDA device DB; verify via company IFU),decision date / intended use matches current labeling,x,,"Tempus public filings/product materials describe xF/xF+ as clinical liquid biopsy assays; current FDA-approved Tempus assay is xT CDx, while xF is not found as FDA approved/cleared."
tempus-xm,Tempus xM (MRD),Tempus AI,pan_cancer,liquid_biopsy,LDT,ldt,null,https://www.tempus.com/,(LDT — not in FDA device DB; verify via company IFU),decision date / intended use matches current labeling,,"Change current status to Research Use or specify clinical xM MRD separately.","Tempus introduced xM MRD as RUO in Jan 2024 and later announced clinical MRD portfolio availability in May 2024; no FDA clearance/approval found. Registry should avoid pan-cancer LDT wording unless limited to current clinical offering."
natera-altera,Altera,Natera,pan_cancer,genomic_sequencing_with_ai,LDT,ldt,null,https://www.natera.com/,(LDT — not in FDA device DB; verify via company IFU),decision date / intended use matches current labeling,x,,"Natera Altera page states the tests have not been FDA cleared or approved and are performed by a CLIA-certified laboratory."
exact-cologuard-plus,Cologuard Plus,Exact Sciences,colorectal,multiomics,PMA approved,pma,2024-10,https://www.exactsciences.com/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm,FDA # (K/DEN/P) / intended use matches current labeling,x,"PMA number: P230043; approval date: 2024-10-03.","FDA trade name: Multi-Target Stool DNA (mtsDNA) Test, Cologuard Plus."
guardant-shield,Shield,Guardant Health,colorectal,liquid_biopsy,PMA approved,pma,2024-07,https://guardanthealth.com/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm,FDA # (K/DEN/P) / intended use matches current labeling,x,"PMA number: P230009; approval date: 2024-07-26.","FDA intended use is qualitative in vitro diagnostic test for colorectal cancer derived alterations in cell-free DNA from blood."
freenome-crc-blood-test,Freenome CRC Blood Test,Freenome,colorectal,liquid_biopsy,De Novo authorized,de_novo,null,https://www.freenome.com/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm,FDA # (K/DEN/P) / decision date / intended use matches current labeling,,"Change status/pathway to PMA submitted / investigational; not De Novo authorized.","Freenome/Exact Sciences sources say the final PMA module for SimpleScreen CRC v1 was submitted in Aug 2025 and the test is under FDA review; no FDA authorization found."
delfi-firstlook-lung,FirstLook Lung,Delfi Diagnostics,lung,liquid_biopsy,LDT,ldt,null,https://delfidiagnostics.com/,(LDT — not in FDA device DB; verify via company IFU),decision date / intended use matches current labeling,x,,"DELFI states FirstLook Lung is an LDT regulated under CLIA and has not been cleared or approved by FDA; used clinically, not investigational/research."
hologic-genius-cervical,Genius Digital Diagnostics System (cervical cytology),Hologic,cervical,histopathology,510(k) cleared,510k,null,https://www.hologic.com/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn_browse.cfm?db=pmn&applicant=Hologic,FDA # (K/DEN/P) / decision date / intended use matches current labeling,,"Change status/pathway to De Novo authorized; De Novo number: DEN210035; decision date: 2024-01-31.","FDA device name is Genius Digital Diagnostics System with the Genius Cervical AI algorithm, product code QYV."
bd-focalpoint-gs,FocalPoint GS Imaging System,BD (Becton Dickinson),cervical,histopathology,PMA approved,pma,null,https://www.bd.com/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm,FDA # (K/DEN/P) / decision date / intended use matches current labeling,x,"PMA supplement: P950009/S008; approval date: 2008-12-03 for BD FocalPoint GS Imaging System. Original AutoPap PMA P950009 approved 1995-09-29.","Later FocalPoint GS supplements include P950009/S022, S023, S024, S025, and S026."
castle-decisiondx-melanoma,DecisionDx-Melanoma,Castle Biosciences,melanoma,genomic_sequencing_with_ai,LDT,ldt,null,https://castlebiosciences.com/,(LDT — not in FDA device DB; verify via company IFU),decision date / intended use matches current labeling,x,,"Castle states DecisionDx-Melanoma is marketed as an LDT; FDA granted Breakthrough Device designation in 2025, but no FDA clearance/approval found."
castle-decisiondx-sqcc,DecisionDx-SCC,Castle Biosciences,dermatopathology,genomic_sequencing_with_ai,LDT,ldt,null,https://castlebiosciences.com/,(LDT — not in FDA device DB; verify via company IFU),decision date / intended use matches current labeling,x,,"DecisionDx-SCC is marketed by Castle as a clinical gene-expression prognostic test; no FDA clearance/approval found."
